trade_date,ticker,priority,set,prediction,actual_eod,eod_move_pct,matched,prediction_reason,eod_reason,eod_checked_at
2026-09-02,RPOWER,1,-----,BEARISH,BEARISH,-0.943,True,Prediction BEARISH based on saved momentum and dated news evidence.,Price moved -0.94% and followed the predicted direction.,02 Sep 2026 06:01 PM IST
2026-09-02,TCS,2,---+-,BULLISH,BEARISH,-0.886,False,Prediction BULLISH based on saved momentum and dated news evidence.,"Price moved -0.89%, which did not follow the predicted BULLISH direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,HDFCBANK,3,-----,BEARISH,BEARISH,-1.559,True,Prediction BEARISH based on saved momentum and dated news evidence.,Price moved -1.56% and followed the predicted direction.,02 Sep 2026 06:01 PM IST
2026-09-02,INFY,4,---+-,BULLISH,BEARISH,-1.384,False,Prediction BULLISH based on saved momentum and dated news evidence.,"Price moved -1.38%, which did not follow the predicted BULLISH direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,BHARTIARTL,5,-----,NEUTRAL,BEARISH,-0.767,False,Prediction NEUTRAL based on saved momentum and dated news evidence.,"Price moved -0.77%, which did not follow the predicted NEUTRAL direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,ITC,6,-----,NEUTRAL,BEARISH,-0.113,False,Prediction NEUTRAL based on saved momentum and dated news evidence.,"Price moved -0.11%, which did not follow the predicted NEUTRAL direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,ICICIBANK,7,++---,BULLISH,BEARISH,-0.8,False,Prediction BULLISH based on saved momentum and dated news evidence.,"Price moved -0.80%, which did not follow the predicted BULLISH direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,RELIANCE,8,--+++,BEARISH,BULLISH,0.313,False,Prediction BEARISH based on saved momentum and dated news evidence.,"Price moved +0.31%, which did not follow the predicted BEARISH direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
2026-09-02,LT,9,++--+,NEUTRAL,NEUTRAL,0.023,True,Prediction NEUTRAL based on saved momentum and dated news evidence.,Price moved +0.02% and followed the predicted direction.,02 Sep 2026 06:01 PM IST
2026-09-02,SBIN,10,+----,NEUTRAL,BEARISH,-1.315,False,Prediction NEUTRAL based on saved momentum and dated news evidence.,"Price moved -1.31%, which did not follow the predicted NEUTRAL direction. Other intraday market factors outweighed the pre-market evidence.",02 Sep 2026 06:01 PM IST
