generated_at,score,outlook,few_days,few_weeks,few_months,articles,price,daily_price_change_pct,prediction,prediction_score
2026-09-01T22:33:59.888251+00:00,58.06,NEUTRAL,58.06,55.8,53.63,309,,,,
2026-09-01T22:46:43.276438+00:00,60.2,BULLISH,60.2,57.34,54.59,374,,,,
2026-09-01T23:44:45.331108+00:00,60.59,BULLISH,,,,19,1277.0,-0.78,BULLISH,66.8
2026-09-02T00:43:31.279371+00:00,60.59,BULLISH,,,,19,1309.0,2.51,BULLISH,70.1
2026-09-02T05:08:39.160809+00:00,61.03,BULLISH,,,,18,1317.1,0.62,BULLISH,68.2
2026-09-02T09:36:21.372994+00:00,53.38,NEUTRAL,,,,15,1311.1,0.16,BULLISH,67.6
2026-09-02T12:17:52.315491+00:00,57.44,NEUTRAL,,,,19,1313.1,0.31,BULLISH,85.3
2026-09-02T13:52:32.361531+00:00,58.78,NEUTRAL,,,,15,1313.1,0.31,BULLISH,85.3
2026-09-02T17:31:16.189277+00:00,63.75,BULLISH,,,,14,1313.1,0.31,BULLISH,67.9
2026-09-02T20:04:40.721219+00:00,52.3,NEUTRAL,,,,11,1309.0,2.51,NEUTRAL,52.5
2026-09-02T22:35:02.550328+00:00,57.34,NEUTRAL,,,,12,1309.0,2.51,NEUTRAL,52.5
2026-09-03T00:38:04.791822+00:00,52.51,NEUTRAL,,,,10,1313.1,0.31,NEUTRAL,50.3
2026-09-03T05:04:26.082786+00:00,50.0,NEUTRAL,,,,0,1307.7,-0.41,NEUTRAL,49.6
2026-09-03T09:41:16.958173+00:00,54.53,NEUTRAL,,,,27,1311.4,-0.13,NEUTRAL,49.9
2026-09-03T13:54:09.826897+00:00,60.83,BULLISH,,,,3,1302.5,-0.81,BULLISH,60.3
2026-09-03T17:28:50.372923+00:00,61.2,BULLISH,,,,8,1302.5,-0.81,BULLISH,60.3
2026-09-03T20:05:20.378021+00:00,49.45,NEUTRAL,,,,6,1313.1,0.31,NEUTRAL,55.8
2026-09-03T22:32:06.363698+00:00,51.02,NEUTRAL,,,,10,1313.1,0.31,NEUTRAL,55.8
2026-09-04T00:20:02.881730+00:00,59.05,NEUTRAL,,,,11,1302.5,-0.81,NEUTRAL,54.7
2026-09-04T04:46:31.867080+00:00,56.82,NEUTRAL,,,,14,1327.5,1.92,BULLISH,68.5
2026-09-04T09:07:34.740571+00:00,59.99,NEUTRAL,,,,18,1327.0,1.88,BULLISH,85.6
2026-09-04T13:30:41.001399+00:00,60.72,BULLISH,,,,21,1322.0,1.5,BULLISH,85.2
2026-09-04T17:01:41.901542+00:00,58.28,NEUTRAL,,,,18,1322.0,1.5,BULLISH,85.2
2026-09-04T19:26:55.776706+00:00,60.72,BULLISH,,,,21,1302.5,-0.81,BULLISH,63.3
2026-09-04T21:42:15.663387+00:00,60.1,BULLISH,,,,41,1302.5,-0.81,BULLISH,63.3
2026-09-04T23:22:04.490482+00:00,61.07,BULLISH,,,,22,1302.5,-0.81,BULLISH,63.3
2026-09-05T01:09:56.859123+00:00,61.07,BULLISH,,,,22,1302.5,-0.81,BULLISH,63.3
2026-09-05T05:45:32.391140+00:00,65.07,BULLISH,,,,24,1322.0,1.5,BULLISH,83.8
2026-09-05T09:28:35.632088+00:00,59.46,NEUTRAL,,,,40,1322.0,1.5,BULLISH,75.2
2026-09-05T12:58:34.811580+00:00,60.3,BULLISH,,,,39,1322.0,1.5,BULLISH,83.8
